studentId,identifier,count
610700002,Save Document,214
610700002,Text Change,1509
810002010,Save Document,113
810002010,Text Change,407
810002023,Save Document,266
810002023,Text Change,1099
810002031,Save Document,320
810002031,Text Change,1243
810002033,Save Document,606
810002033,Text Change,5882
810003038,Save Document,326
810003038,Text Change,1858
810003060,Save Document,289
810003060,Text Change,345
810101385,Save Document,325
810101385,Text Change,725
810101389,Save Document,753
810101389,Text Change,1321
810101446,Save Document,738
810101446,Text Change,1723
810101524,Save Document,665
810101524,Text Change,1864
810102117,Save Document,1
810102117,Text Change,1
810102596,Save Document,2
810102596,Text Change,4
810103347,Save Document,1402
810103347,Text Change,1092
810103351,Save Document,1260
810103351,Text Change,2179
810103363,Save Document,37
810103363,Text Change,1067
810103366,Save Document,289
810103366,Text Change,1910
810103377,Save Document,298
810103377,Text Change,376
810103382,Save Document,234
810103382,Text Change,622
810103391,Save Document,475
810103391,Text Change,2301
810103396,Save Document,1221
810103396,Text Change,969
810103397,Save Document,322
810103397,Text Change,2553
810103407,Save Document,890
810103407,Text Change,3412
810103413,Save Document,247
810103413,Text Change,2474
810103414,Save Document,398
810103414,Text Change,2481
810103422,Save Document,50
810103422,Text Change,52
810103424,Save Document,819
810103424,Text Change,2844
810103425,Save Document,1662
810103425,Text Change,3169
810103434,Save Document,222
810103434,Text Change,1374
810103444,Save Document,9
810103444,Text Change,51
810103448,Save Document,1689
810103448,Text Change,1124
810103460,Save Document,573
810103460,Text Change,1287
810103468,Save Document,126
810103468,Text Change,502
810103474,Save Document,53
810103474,Text Change,1352
810103476,Save Document,5
810103476,Text Change,20
810103480,Save Document,1271
810103480,Text Change,1789
810103482,Save Document,607
810103482,Text Change,1256
810103485,Save Document,275
810103485,Text Change,455
810103490,Save Document,273
810103490,Text Change,2248
810103494,Save Document,467
810103494,Text Change,1966
810103496,Save Document,246
810103496,Text Change,541
810103498,Save Document,92
810103498,Text Change,558
810103500,Save Document,324
810103500,Text Change,2062
810103504,Save Document,3356
810103504,Text Change,2061
810103506,Save Document,1154
810103506,Text Change,1039
810103510,Save Document,199
810103510,Text Change,625
810103515,Save Document,124
810103515,Text Change,942
810103522,Save Document,218
810103522,Text Change,1025
810103525,Save Document,5
810103525,Text Change,6
810103526,Save Document,137
810103526,Text Change,1207
810103539,Save Document,3460
810103539,Text Change,2545
810103547,Save Document,398
810103547,Text Change,963
810103550,Save Document,356
810103550,Text Change,1903
810103554,Save Document,187
810103554,Text Change,790
810103558,Save Document,292
810103558,Text Change,1394
810103560,Save Document,261
810103560,Text Change,1593
810103561,Save Document,264
810103561,Text Change,2303
810103562,Save Document,382
810103562,Text Change,3599
810103564,Save Document,939
810103564,Text Change,1081
810103567,Save Document,232
810103567,Text Change,349
810103568,Save Document,245
810103568,Text Change,498
810103569,Save Document,298
810103569,Text Change,2253
810103575,Save Document,129
810103575,Text Change,1257
810103580,Save Document,474
810103580,Text Change,1695
810103582,Save Document,706
810103582,Text Change,1130
810103583,Save Document,348
810103583,Text Change,745
810103588,Save Document,1104
810103588,Text Change,1329
810103595,Save Document,206
810103595,Text Change,655
810103597,Save Document,439
810103597,Text Change,1843
810103598,Save Document,1150
810103598,Text Change,1656
810103599,Save Document,242
810103599,Text Change,195
810103602,Save Document,152
810103602,Text Change,532
