,student_id,mean_max_edit_distance
0,610700002,1030.5714285714287
1,810002010,1350.4444444444443
2,810002023,930.9
3,810002031,6165.428571428572
4,810002033,2177.6470588235293
5,810003038,4567.15
6,810003060,347.17054263565893
7,810101385,571.3559322033898
8,810101389,702.2857142857143
9,810101446,819.3066666666666
10,810101524,542.8571428571429
11,810102117,0.0
12,810102596,12.0
13,810103347,6104.939393939394
14,810103351,444.3134328358209
15,810103353,969.5
16,810103363,349.55
17,810103366,3461.3193277310925
18,810103377,1245.7857142857142
19,810103382,1103.1382978723404
20,810103391,931.0
21,810103396,33414.666666666664
22,810103397,1063.6774193548388
23,810103407,705.6071428571429
24,810103413,633.1153846153846
25,810103414,1175.1785714285713
26,810103422,367.6
27,810103424,622.7567567567568
28,810103425,357.77647058823527
29,810103434,761.8571428571429
30,810103444,226.6
31,810103448,1990.3684210526317
32,810103460,573.2903225806451
33,810103468,1020.3589743589744
34,810103474,826.5588235294117
35,810103476,659.4242424242424
36,810103480,524.469696969697
37,810103482,1189.3666666666666
38,810103485,620.6333333333333
39,810103490,488.15555555555557
40,810103494,849.0227272727273
41,810103496,3477.3333333333335
42,810103498,365.03636363636366
43,810103500,910.3913043478261
44,810103504,1008.1290322580645
45,810103506,1209.8
46,810103510,421.625
47,810103515,1352.12
48,810103522,487.02
49,810103525,800.0833333333334
50,810103526,827.4897959183673
51,810103539,2699.842857142857
52,810103547,1555.7692307692307
53,810103550,1272.5
54,810103554,829.5625
55,810103558,1479.6875
56,810103560,1635.0232558139535
57,810103561,1531.590909090909
58,810103562,799.3428571428572
59,810103564,2710.785714285714
60,810103567,219.14285714285714
61,810103568,547.5853658536586
62,810103569,754.9767441860465
63,810103575,466.21153846153845
64,810103580,523.219512195122
65,810103582,808.8409090909091
66,810103583,412.0
67,810103588,785.0
68,810103595,320.6
69,810103597,469.1
70,810103598,492.08474576271186
71,810103599,7204.314285714286
72,810103602,825.4117647058823
