studentId,score
610700002,15
810002023,15
810002031,4.59183673469388
810002033,15
810003060,1.53061224489796
810101385,5.96938775510204
810101389,0.551020408163265
810101446,15
810101524,2.57142857142857
810103347,5.38775510204082
810103351,3.36734693877551
810103353,9.42857142857143
810103366,15
810103382,15
810103397,15
810103407,4.71428571428571
810103413,15
810103414,15
810103424,6.12244897959184
810103425,0
810103434,13.7448979591837
810103460,15
810103468,10.8979591836735
810103474,11.9081632653061
810103476,5.75510204081633
810103480,15
810103482,2.96938775510204
810103490,15
810103494,15
810103496,12.734693877551
810103498,15
810103500,12.9489795918367
810103504,10.9591836734694
810103506,15
810103510,13.4081632653061
810103515,15
810103522,15
810103525,0.275510204081633
810103526,15
810103539,15
810103547,3.48979591836735
810103550,11.5102040816327
810103554,15
810103558,15
810103560,14.4795918367347
810103561,12.3979591836735
810103562,15
810103564,0
810103567,0
810103568,0.428571428571429
810103569,15
810103575,15
810103580,15
810103582,15
810103583,2.26530612244898
810103588,3.03061224489796
810103597,7.16326530612245
810103598,4.13265306122449
810103599,9.8265306122449
810103602,1.86734693877551
