student_id,mean_max_edit_distance
610700002,852.5882352941177
810002023,549.0333333333333
810002031,227.33333333333334
810002033,2053.0875
810101385,701.3928571428571
810101446,1210.4871794871794
810103347,1044.142857142857
810103351,1416.7142857142858
810103353,969.5
810103366,1167.3076923076924
810103382,1250.96875
810103397,627.1875
810103407,1401.25
810103413,242.66666666666666
810103414,1811.2972972972973
810103424,184.16666666666666
810103425,51.0
810103434,960.85
810103460,492.15
810103468,1605.060606060606
810103474,692.7115384615385
810103476,710.5714285714286
810103480,473.9122807017544
810103490,506.2631578947368
810103494,1138.24
810103496,5029.428571428572
810103498,320.18518518518516
810103500,334.3333333333333
810103504,1824.625
810103506,1432.0625
810103510,611.84
810103515,1051.3666666666666
810103522,450.5
810103526,704.3023255813954
810103539,2829.4791666666665
810103547,1201.0833333333333
810103550,606.3846153846154
810103554,560.8648648648649
810103558,1399.1538461538462
810103560,1704.2916666666667
810103561,1351.391304347826
810103562,611.2068965517242
810103564,0.0
810103567,0.0
810103569,490.6774193548387
810103575,382.3414634146341
810103580,425.94444444444446
810103582,692.275
810103588,87.0
810103597,438.04761904761904
810103598,242.44444444444446
810103599,11135.15625
