student_id,mean_max_edit_distance
610700002,838.5
810002033,8182.0
810003038,1849.3333333333333
810003060,428.962962962963
810101385,205.57142857142858
810101446,271.1578947368421
810101524,374.6666666666667
810103366,3391.2391304347825
810103377,1844.6190476190477
810103391,843.0
810103397,497.53846153846155
810103413,191.8125
810103414,224.38095238095238
810103424,1065.7142857142858
810103425,85.75
810103434,567.8
810103448,2103.9310344827586
810103460,344.0
810103474,136.8181818181818
810103476,550.2272727272727
810103480,348.8333333333333
810103482,474.0
810103490,238.64285714285714
810103494,504.14285714285717
810103496,4559.777777777777
810103504,265.25
810103506,214.83333333333334
810103515,1385.952380952381
810103522,244.42857142857142
810103525,981.0
810103547,1526.032258064516
810103554,656.9090909090909
810103558,640.2
810103560,834.4166666666666
810103561,198.7
810103562,439.6923076923077
810103567,128.0
810103569,590.9565217391304
810103575,216.4
810103580,256.5882352941176
810103583,301.8333333333333
810103588,477.55555555555554
810103597,493.3333333333333
810103598,33.333333333333336
810103599,6243.2
810103602,188.25
