studentId,identifier,count
610700002,Save Document,359
610700002,Text Change,933
810002023,Save Document,195
810002023,Text Change,649
810002031,Save Document,30
810002031,Text Change,160
810002033,Save Document,812
810002033,Text Change,2872
810003060,Save Document,59
810003060,Text Change,60
810101385,Save Document,128
810101385,Text Change,205
810101389,Save Document,22
810101389,Text Change,28
810101446,Save Document,749
810101446,Text Change,1017
810101524,Save Document,68
810101524,Text Change,94
810103347,Save Document,215
810103347,Text Change,186
810103351,Save Document,95
810103351,Text Change,120
810103353,Save Document,183
810103353,Text Change,318
810103366,Save Document,423
810103366,Text Change,909
810103382,Save Document,268
810103382,Text Change,670
810103397,Save Document,190
810103397,Text Change,585
810103407,Save Document,81
810103407,Text Change,164
810103413,Save Document,348
810103413,Text Change,1183
810103414,Save Document,440
810103414,Text Change,1254
810103424,Save Document,22
810103424,Text Change,210
810103425,Save Document,6
810103425,Text Change,8
810103434,Save Document,56
810103434,Text Change,459
810103460,Save Document,487
810103460,Text Change,772
810103468,Save Document,214
810103468,Text Change,366
810103474,Save Document,93
810103474,Text Change,399
810103476,Save Document,51
810103476,Text Change,198
810103480,Save Document,1771
810103480,Text Change,1801
810103482,Save Document,57
810103482,Text Change,107
810103490,Save Document,109
810103490,Text Change,710
810103494,Save Document,547
810103494,Text Change,1561
810103496,Save Document,341
810103496,Text Change,426
810103498,Save Document,258
810103498,Text Change,1153
810103500,Save Document,83
810103500,Text Change,433
810103504,Save Document,134
810103504,Text Change,368
810103506,Save Document,657
810103506,Text Change,778
810103510,Save Document,26
810103510,Text Change,448
810103515,Save Document,243
810103515,Text Change,832
810103522,Save Document,197
810103522,Text Change,913
810103525,Save Document,16
810103525,Text Change,19
810103526,Save Document,276
810103526,Text Change,985
810103539,Save Document,1767
810103539,Text Change,1337
810103547,Save Document,72
810103547,Text Change,124
810103550,Save Document,66
810103550,Text Change,386
810103554,Save Document,397
810103554,Text Change,868
810103558,Save Document,276
810103558,Text Change,649
810103560,Save Document,155
810103560,Text Change,483
810103561,Save Document,176
810103561,Text Change,415
810103562,Save Document,227
810103562,Text Change,919
810103564,Text Change,1
810103567,Save Document,1
810103567,Text Change,1
810103568,Save Document,11
810103568,Text Change,24
810103569,Save Document,142
810103569,Text Change,643
810103575,Save Document,316
810103575,Text Change,893
810103580,Save Document,277
810103580,Text Change,888
810103582,Save Document,468
810103582,Text Change,698
810103583,Save Document,43
810103583,Text Change,84
810103588,Save Document,81
810103588,Text Change,109
810103597,Save Document,136
810103597,Text Change,244
810103598,Save Document,102
810103598,Text Change,145
810103599,Save Document,328
810103599,Text Change,331
810103602,Save Document,28
810103602,Text Change,71
