student_id,mean_max_edit_distance,score
610700002,852.588235294118,4
810002023,549.033333333333,6
810002031,227.333333333333,10
810002033,2053.0875,0
810101385,701.392857142857,4
810101446,1210.48717948718,2
810103347,1044.14285714286,4
810103351,1416.71428571429,2
810103353,969.5,4
810103366,1167.30769230769,2
810103382,1250.96875,2
810103397,627.1875,6
810103407,1401.25,2
810103413,242.666666666667,10
810103414,1811.2972972973,0
810103424,184.166666666667,10
810103425,51,10
810103434,960.85,4
810103460,492.15,8
810103468,1605.06060606061,0
810103474,692.711538461539,6
810103476,710.571428571429,4
810103480,473.912280701754,8
810103490,506.263157894737,6
810103494,1138.24,2
810103496,5029.42857142857,0
810103498,320.185185185185,10
810103500,334.333333333333,8
810103504,1824.625,0
810103506,1432.0625,0
810103510,611.84,6
810103515,1051.36666666667,4
810103522,450.5,8
810103526,704.302325581395,4
810103539,2829.47916666667,0
810103547,1201.08333333333,2
810103550,606.384615384615,6
810103554,560.864864864865,6
810103558,1399.15384615385,2
810103560,1704.29166666667,0
810103561,1351.39130434783,2
810103562,611.206896551724,6
810103569,490.677419354839,8
810103575,382.341463414634,8
810103580,425.944444444444,8
810103582,692.275,6
810103588,87,10
810103597,438.047619047619,8
810103598,242.444444444444,10
810103599,11135.15625,0
