student_id,mean_max_edit_distance,score
610700002,989.142857142857,8
810002010,1200.64,4
810002023,1089.84,4
810002031,4384.27272727273,0
810002033,3167.75,0
810003038,5517.58333333333,0
810003060,517.085714285714,12
810101385,480.25,12
810101389,742.76,8
810101446,444.806451612903,16
810101524,533.3,12
810103347,8264.13636363636,0
810103351,338.1875,20
810103363,349.55,20
810103366,4113.01960784314,0
810103377,646.952380952381,8
810103382,1034.76666666667,4
810103391,805.5,8
810103396,33414.6666666667,0
810103397,889.285714285714,8
810103407,427.35,16
810103413,362.391304347826,16
810103414,517.016393442623,12
810103424,309.647058823529,20
810103425,364.913580246914,16
810103434,369.931034482759,16
810103448,1105.83783783784,4
810103460,534.5,12
810103468,591.113636363636,8
810103474,964.545454545454,8
810103480,543.055555555556,12
810103482,1239.24,4
810103485,611.333333333333,8
810103490,386.131578947369,16
810103494,359.625,16
810103496,1615.04166666667,0
810103498,243.785714285714,20
810103500,1024.8125,4
810103504,575.034482758621,12
810103506,399.761904761905,16
810103510,292.166666666667,20
810103515,1119.4,4
810103522,405.1,16
810103526,581.133333333333,8
810103539,1797.03225806452,0
810103547,1140.42857142857,4
810103550,1271.23076923077,4
810103554,640.705882352941,8
810103558,2229.33333333333,0
810103560,1382.5,0
810103561,1361.08695652174,4
810103562,529.157894736842,12
810103564,2710.78571428571,0
810103567,196.5,20
810103568,567.769230769231,12
810103569,487.866666666667,12
810103575,296.904761904762,20
810103580,352.516129032258,20
810103582,387.35,16
810103583,290.5625,20
810103588,603,8
810103595,320.6,20
810103597,387.2,16
810103598,569.170212765957,12
810103599,1213.81481481481,4
810103602,270.888888888889,20
