student_id,mean_max_edit_distance,score
610700002,838.5,2
810002033,8182,0
810003038,1849.33333333333,0
810003060,428.962962962963,6
810101385,205.571428571429,10
810101446,271.157894736842,8
810101524,374.666666666667,6
810103366,3391.23913043478,0
810103377,1844.61904761905,0
810103391,843,2
810103397,497.538461538462,4
810103413,191.8125,10
810103414,224.380952380952,8
810103424,1065.71428571429,2
810103425,85.75,10
810103434,567.8,4
810103448,2103.93103448276,0
810103460,344,6
810103474,136.818181818182,10
810103476,550.227272727273,4
810103480,348.833333333333,6
810103482,474,6
810103490,238.642857142857,8
810103494,504.142857142857,4
810103496,4559.77777777778,0
810103504,265.25,8
810103506,214.833333333333,8
810103515,1385.95238095238,2
810103522,244.428571428571,8
810103525,981,2
810103547,1526.03225806452,0
810103554,656.909090909091,2
810103558,640.2,2
810103560,834.416666666667,2
810103561,198.7,10
810103562,439.692307692308,6
810103567,128,10
810103569,590.95652173913,4
810103575,216.4,8
810103580,256.588235294118,8
810103583,301.833333333333,6
810103588,477.555555555556,4
810103597,493.333333333333,4
810103598,33.3333333333333,10
810103599,6243.2,0
810103602,188.25,10
