,49,191,164,233,198,167,222,248,242,227,249,273,261,252,166,283,205,218,189,183,243,240,181,247,267,259,229,160,165,184,195,159,269,169,204,219,154,179,245,238,199,163,212,255,234,75,284,150,223,281,162,77,250,175,230,180,262,279,83,231,232,182
49,3.2214086e-06,0.17376697,0.17177518,0.13807988,0.23466255,0.1546347,0.12108406,0.23253867,0.18504319,0.1402479,0.19620119,0.18378007,0.24334328,0.21195742,0.52284753,0.25132334,0.18525515,0.15535985,0.33607152,0.1755307,0.71585596,0.276393,0.17822218,0.2849713,0.29285184,0.13102855,0.1664183,0.19797297,0.3631462,0.22368656,0.45131615,0.19736798,0.16114871,0.13471803,0.15529639,0.15771405,0.22029765,0.3481473,0.20445025,0.44026348,0.16166253,0.22388951,0.22937332,0.18136628,0.339051,0.296914,0.21601929,0.2686223,0.15933539,0.287848,0.57521766,0.22983173,0.17311914,0.48173752,0.15916175,0.17711659,0.47427478,0.50062174,0.26190022,0.2769474,0.27093786,0.23505138
191,0.17376697,3.2214086e-06,0.10551467,0.122758225,0.16237833,0.13299844,0.12127831,0.19605364,0.14465092,0.18536243,0.12683974,0.18977319,0.189558,0.20389391,0.4939502,0.19774328,0.14966086,0.14115697,0.2991355,0.16400257,0.85633355,0.17726414,0.15257558,0.27909157,0.25311413,0.11174068,0.110029794,0.15282492,0.289489,0.18713969,0.47527117,0.1426704,0.1792279,0.113966994,0.12185236,0.12701628,0.1616825,0.29897058,0.2217141,0.41176593,0.15878034,0.15668319,0.1914786,0.12881576,0.29459718,0.29682767,0.15152153,0.31019267,0.08095561,0.33161536,0.50821006,0.3022548,0.1348008,0.3737749,0.10961326,0.13983943,0.38920546,0.3669165,0.2069594,0.18252663,0.20496148,0.31185815
164,0.17177518,0.10551467,1.9328452e-06,0.16598341,0.15778138,0.13931401,0.14671905,0.14219072,0.1505696,0.1926338,0.13039811,0.15821627,0.20993856,0.15069428,0.53828776,0.19826353,0.12781616,0.1401548,0.30639625,0.19468841,0.88741887,0.22686255,0.11827692,0.37986466,0.22285995,0.15933023,0.10186288,0.12952092,0.34717378,0.21154669,0.58001816,0.20750156,0.1698275,0.11292069,0.12329587,0.19563743,0.13276714,0.2640621,0.28004768,0.39939508,0.19894518,0.23467866,0.17743164,0.14874469,0.32962388,0.37945038,0.13509975,0.26690465,0.11747189,0.35779187,0.5535704,0.29963386,0.13001864,0.44459435,0.1449766,0.19232067,0.42315653,0.48497888,0.26256865,0.21902777,0.2375338,0.29133487
233,0.13807988,0.122758225,0.16598341,3.8656904e-06,0.21509796,0.1659876,0.09609655,0.24652281,0.17077267,0.15563205,0.15773788,0.21585597,0.21444306,0.23281765,0.49913022,0.24199125,0.19349681,0.1723937,0.33383137,0.17840548,0.78187585,0.2388797,0.20727123,0.23895766,0.27085412,0.13148984,0.13600981,0.18960471,0.3083513,0.21703726,0.44034916,0.13198273,0.19547443,0.13275328,0.14000499,0.13974406,0.15940754,0.3103389,0.23080878,0.44879088,0.176136,0.15585111,0.2035038,0.14861712,0.30487928,0.23402472,0.20067734,0.3300636,0.11424822,0.29997274,0.52838284,0.29728544,0.14658022,0.418067,0.120851144,0.16204524,0.42940316,0.40337256,0.22484241,0.21368828,0.22430089,0.33791998
198,0.23466255,0.16237833,0.15778138,0.21509796,1.2885635e-06,0.1620288,0.1698011,0.2224663,0.18909541,0.23331858,0.1298466,0.21582536,0.18079448,0.16298008,0.55788517,0.13259704,0.22073609,0.21481706,0.21559116,0.23878692,0.78811896,0.13727905,0.21879551,0.34333903,0.18042305,0.21150835,0.15387896,0.12101351,0.45432076,0.26082134,0.56348395,0.17501591,0.19391946,0.15272827,0.19230135,0.24146938,0.1790575,0.29983938,0.25943777,0.27404073,0.21979092,0.2548218,0.25492617,0.17668943,0.32833886,0.38067418,0.2513907,0.21961921,0.1799176,0.31928316,0.5798932,0.32314917,0.1611033,0.41816366,0.18980025,0.2783278,0.3474025,0.51364815,0.32899603,0.23221396,0.28131178,0.2916132
167,0.1546347,0.13299844,0.13931401,0.1659876,0.1620288,2.577127e-06,0.14602517,0.20113799,0.16375259,0.14429656,0.16952728,0.19938587,0.25335896,0.1539102,0.56705135,0.22600599,0.159068,0.1461624,0.20937127,0.18069912,0.70337975,0.15303753,0.17794159,0.35777417,0.2766591,0.10063326,0.1333515,0.094450414,0.32485232,0.244244,0.43534568,0.15762675,0.16576822,0.12280944,0.1277382,0.15711808,0.19772363,0.2746847,0.19508174,0.35311374,0.11364228,0.2026614,0.18365347,0.16298975,0.34837732,0.2597325,0.22985654,0.21901166,0.14236501,0.27707434,0.59928447,0.30483997,0.17797478,0.4357722,0.13863526,0.1576377,0.42143402,0.4734717,0.30458516,0.16690892,0.27640846,0.2665123
222,0.12108406,0.12127831,0.14671905,0.09609655,0.1698011,0.14602517,2.577127e-06,0.20618401,0.15816537,0.12978862,0.14252028,0.10091642,0.10590897,0.17824602,0.44496965,0.16083205,0.16194183,0.07542091,0.27883774,0.16995926,0.7592487,0.2286221,0.12662552,0.22767468,0.2341017,0.12151669,0.098003305,0.16629781,0.3538766,0.10171791,0.46143556,0.13199304,0.12235683,0.06694893,0.14873953,0.1262483,0.14369062,0.25974283,0.20191017,0.42495245,0.15422171,0.1960327,0.21463344,0.08284819,0.30211917,0.26692465,0.22069678,0.2794411,0.10697171,0.28353357,0.51337206,0.15666613,0.09178857,0.43301016,0.1308488,0.20125364,0.38393843,0.3976101,0.22979984,0.1848599,0.16708834,0.30431166
248,0.23253867,0.19605364,0.14219072,0.24652281,0.2224663,0.20113799,0.20618401,2.577127e-06,0.20424408,0.24506995,0.20071277,0.14890704,0.24534957,0.13554335,0.5575083,0.18994005,0.18688294,0.19900155,0.29739496,0.28126505,0.8826963,0.30831006,0.16168314,0.4428055,0.23404275,0.24576256,0.15196674,0.21766028,0.42914447,0.24872239,0.62247795,0.28990552,0.19531336,0.17437293,0.20530295,0.2617739,0.23872636,0.36336267,0.28434247,0.42862356,0.23586252,0.31811926,0.23387556,0.20408365,0.4432275,0.51228386,0.23121758,0.23732762,0.1865914,0.375278,0.6286569,0.26919186,0.17846411,0.52273995,0.22827965,0.31827098,0.46922654,0.57575434,0.4037021,0.35242406,0.28628498,0.38045546
242,0.18504319,0.14465092,0.1505696,0.17077267,0.18909541,0.16375259,0.15816537,0.20424408,2.8992679e-06,0.19265893,0.15643129,0.22077474,0.19315308,0.18294476,0.49927324,0.17355146,0.18138915,0.18900971,0.2833387,0.21199447,0.8120608,0.17455074,0.22135781,0.32730094,0.22513524,0.16801515,0.10097828,0.17371543,0.3658467,0.24104771,0.526844,0.19310606,0.20571272,0.15749563,0.16914457,0.18552415,0.17108966,0.248513,0.29308504,0.39652514,0.19355899,0.2382628,0.15079285,0.15616487,0.3052536,0.32438427,0.23053561,0.27995425,0.13930048,0.301424,0.4920151,0.29575947,0.14072402,0.40894496,0.12862183,0.19345236,0.39242557,0.46595228,0.27929163,0.23545341,0.24564466,0.29186285
